7,677,1,1,22,10,0
12,861,1,1,20,10,0
18,1067,2,1,20,12,0
25,1283,0,0,0,0,1
28,1390,1,1,18,45,0
39,1775,2,1,20,25,0
55,2200,4,1,20,50,0
59,2319,0,0,0,0,1
74,2797,4,1,20,48,0
85,3163,0,0,0,0,1
96,3419,4,1,20,52,0
100,3635,1,1,22,8,0
119,4193,4,1,20,55,0
134,4650,4,1,19,49,0
157,5426,4,1,17,68,0
181,6247,4,1,18,72,0
199,6807,4,1,16,52,0
199,7092,0,0,0,0,1
202,7170,2,1,16,31,0
219,7665,4,1,20,49,0
236,8195,4,1,20,46,0
246,8571,0,0,0,0,1
257,8815,4,1,20,53,0
273,9299,4,1,18,44,0
279,9461,0,0,0,0,1
296,10050,4,1,14,61,0
300,10256,1,1,10,6,0
304,10411,1,1,5,9,0
317,10790,4,1,16,45,0
332,11306,0,0,0,0,1
334,11384,1,1,10,9,0
337,11418,1,2,10,20,0
340,11530,1,1,7,7,0
357,11995,4,1,0,77,0
378,12605,4,1,0,60,0
384,12753,0,0,0,0,1
397,13120,4,1,2,48,0
399,13757,0,0,0,0,1
405,13853,4,1,0,67,0
415,14173,0,0,0,0,1
423,14336,4,1,0,45,0
431,14660,1,1,0,5,0
444,14978,4,1,4,51,0
464,15653,0,0,0,0,1
474,15854,4,1,0,84,0
493,16672,0,0,0,0,1
506,17002,4,1,4,92,0
526,17563,4,1,0,56,0
545,18246,0,0,0,0,1
554,18407,4,1,0,76,0
574,19134,0,0,0,0,1
584,19367,4,1,0,84,0
603,20105,3,1,0,56,0
622,20606,4,1,0,52,0
643,21121,4,1,0,60,0
666,21716,4,1,0,68,0
689,22350,4,1,0,68,0
705,22979,4,1,0,64,0
739,23914,4,1,0,104,0
758,24326,4,1,0,52,0
761,24352,0,0,0,0,1
781,24800,4,1,0,60,0
803,25313,4,1,0,64,0
820,25655,4,1,0,48,0
836,26126,0,0,0,0,1
848,26298,4,1,0,76,0
858,26653,1,1,0,0,0
875,27031,4,1,0,79,0
890,27346,4,1,0,41,0
905,27815,4,1,0,60,0
913,28024,0,0,0,0,1
924,28316,2,1,0,52,0
940,28635,4,1,0,44,0
946,28818,1,1,0,10,0
947,28849,1,1,0,0,0
967,29391,0,0,0,0,1
981,29601,5,1,0,106,0
999,30125,4,1,0,71,0
