23,10,4,1,20,68,0
53,10,4,1,20,92,0
66,10,2,1,20,33,0
77,2617,0,0,0,0,1
89,10,4,1,20,67,0
102,10,3,1,21,36,0
118,10,3,1,20,48,0
135,10,4,1,19,48,0
143,4684,0,0,0,0,1
153,10,4,1,19,44,0
182,10,4,1,17,88,0
203,10,4,1,15,59,0
232,10,4,1,20,89,0
258,10,4,1,20,76,0
272,8714,0,0,0,0,1
289,10,4,1,16,88,0
304,10,4,1,16,45,0
319,10278,0,0,0,0,1
328,10,4,1,9,67,0
349,10,4,1,11,60,0
365,10,4,1,0,44,0
384,10,4,1,2,52,0
403,10,4,1,0,52,0
412,12992,0,0,0,0,1
425,10,4,1,0,56,0
447,10,3,1,0,64,0
465,10,4,1,0,52,0
481,10,4,1,0,44,0
494,15384,0,0,0,0,1
502,10,4,1,10,52,0
521,10,1,1,0,6,0
531,10,4,1,0,78,0
535,16522,0,0,0,0,1
547,10,1,1,0,5,0
552,10,1,1,0,6,0
564,10,2,1,0,48,0
575,10,3,1,0,66,0
591,10,4,1,0,47,0
603,8,2,1,0,55,0
619,8,4,1,0,49,0
637,20046,0,0,0,0,1
648,8,4,1,0,80,0
677,8,4,1,0,87,0
703,8,4,1,0,77,0
726,8,4,1,0,66,0
746,8,4,1,0,58,0
759,22943,0,0,0,0,1
775,8,4,1,0,80,0
794,8,4,1,0,52,0
799,23813,0,0,0,0,1
800,6,1,1,0,20,0
831,6,4,1,0,96,0
851,6,4,1,0,52,0
871,25530,0,0,0,0,1
879,6,2,1,0,81,0
903,6,4,1,0,75,0
932,6,4,1,0,88,0
954,6,4,1,0,64,0
976,6,2,1,0,53,0
988,6,2,1,0,30,0
992,28116,1,1,0,0,0
